Policy ID	Number of Claims
1	2
3	2
7	2
24	2
35	2
43	2
62	3
108	2
126	2
173	2
199	2
257	3
267	2
269	2
292	2
298	2
302	2
351	2
383	2
415	2
442	2
449	2
477	2
485	2
671	2
684	2
692	2
740	3
741	2
742	2
754	3
779	2
802	2
805	2
818	2
856	3
931	2
936	3
945	3
973	4
993	2
1008	2
1023	2
1036	2
1049	2
1051	2
1054	2
1090	2
1097	2
1111	2
1133	2
1164	3
1169	2
1187	2
1190	2
1193	2
1199	2
1217	3
1262	2
1289	2
1299	2
1322	3
1334	2
1347	2
1379	2
1399	2
1408	2
1436	2
1498	2
1509	3
1535	3
1576	2
1600	2
1622	2
1632	2
1641	2
1665	2
1723	3
1727	2
1746	3
1748	2
1767	2
1802	4
1814	2
1840	3
1846	2
1867	2
1880	2
1885	2
1891	2
1897	2
1902	2
1925	2
1930	2
1939	2
1951	2
1958	2
1998	2
2001	2
2018	3
2020	3
2021	2
2023	2
2030	3
2040	2
2042	2
2066	2
2073	2
2084	2
2086	4
2088	2
2095	2
2122	2
2124	2
2126	3
2138	2
2162	2
2198	2
2230	2
2295	2
2317	3
2324	4
2339	2
2340	2
2343	2
2441	2
2457	2
2487	3
2489	2
2522	2
2537	2
2566	2
2591	3
2657	2
2676	2
2685	3
2687	2
2689	2
2718	2
2794	2
2830	2
2856	2
2879	2
2881	2
2956	2
2962	2
3019	2
3097	2
3120	2
3164	2
3261	2
3268	2
3391	2
3538	2
3610	2
3617	3
3622	2
3674	2
3683	2
3713	3
3728	2
3731	2
3734	2
3736	2
3816	2
3823	2
3874	2
3876	2
3877	2
3895	2
3941	2
3964	2
3989	2
3998	2
4005	2
4007	2
4030	2
4045	2
4100	2
4112	2
4113	2
4191	2
4255	2
4264	2
4285	2
4359	2
4380	2
4458	2
4461	2
4485	2
4493	2
4505	3
4533	2
4545	2
4617	2
4626	2
4661	2
4664	3
4685	2
4686	2
4713	2
4729	2
4773	3
4774	2
4793	2
4847	2
4855	3
4869	2
4904	2
4984	3
4985	2
4988	2
5004	2
5009	2
5033	2
5044	2
5088	2
5165	2
5200	2
5267	2
5346	2
5376	2
5379	2
5419	2
5421	2
5439	2
5444	2
5487	2
5495	2
5531	2
5538	2
5540	3
5541	2
5557	2
5574	2
5583	2
5594	2
5602	2
5647	2
5680	2
5686	2
5688	2
5697	2
5735	2
5774	2
5780	2
5826	2
5831	2
5877	2
5928	2
5944	3
5957	3
5994	2
6046	2
6067	3
6077	2
6079	2
6103	2
6116	2
6140	3
6163	2
6167	2
6182	2
6186	2
6192	2
6209	2
6221	2
6296	3
6297	3
6300	2
6315	3
6324	2
6335	4
6342	4
6374	2
6391	3
6392	3
6426	2
6447	2
6448	2
6457	2
6518	2
6520	2
6538	2
6574	2
6594	2
6613	2
6622	2
6637	2
6656	2
6662	2
6683	2
6684	2
6716	2
6740	2
6762	2
6798	2
6881	2
6922	2
6935	3
6944	2
6968	2
6989	2
6999	2
7008	2
7058	2
7062	2
7101	4
7121	2
7122	2
7134	2
7167	2
7209	2
7228	2
7236	2
7310	2
7312	2
7320	2
7368	2
7374	2
7379	2
7382	2
7389	2
7401	3
7422	2
7497	2
7503	2
7507	3
7508	2
7531	2
7536	2
7551	2
7553	2
7621	4
7623	2
7626	2
7635	2
7647	2
7650	2
7690	2
7704	2
7709	2
7720	2
7747	2
7780	2
7839	2
7841	2
7849	3
7857	2
7866	2
7888	2
7920	4
7934	2
7953	2
7977	2
7998	4
8006	2
8013	2
8014	2
8053	2
8057	2
8069	2
8071	2
8072	2
8074	3
8100	4
8105	2
8107	3
8111	3
8112	3
8125	2
8147	2
8155	2
8157	2
8176	2
8184	2
8194	2
8219	2
8230	2
8234	2
8245	3
8260	2
8275	2
8294	2
8303	2
8313	3
8335	2
8336	3
8344	2
8364	4
8390	3
8407	3
8439	2
8443	2
8471	3
8472	2
8483	2
8490	3
8529	2
8550	2
8554	2
8615	6
8645	2
8791	3
8830	2
8838	2
8888	2
8907	3
8948	2
9046	2
9047	4
9082	3
9127	2
9201	2
9205	2
9252	2
